Nro_Orden,Codigo_MP,Nro_Analisis,Cantidad_Consumida,Posicion
OF-2023-0671,MP-0032,QC-2023-02460,45.552,1
OF-2023-0671,MP-0040,QC-2021-02381,27.204,2
OF-2023-0671,MP-0044,QC-2023-03472,26.145,3
OF-2024-0672,MP-0021,QC-2022-03081,15.01,1
OF-2024-0672,MP-0040,QC-2022-01028,14.65,2
OF-2024-0672,MP-0074,QC-2023-01073,39.244,3
OF-2020-0673,MP-0005,QC-2022-00754,15.465,1
OF-2020-0673,MP-0077,QC-2022-00007,32.227,2
OF-2020-0673,MP-0040,QC-2024-03021,46.091,3
OF-2020-0673,MP-0051,QC-2023-01280,13.685,4
OF-2020-0673,MP-0041,QC-2024-03173,33.661,5
OF-2020-0674,MP-0005,QC-2023-02485,10.747,1
OF-2020-0674,MP-0038,QC-2023-00527,20.691,2
OF-2020-0674,MP-0074,QC-2024-03176,12.509,3
OF-2020-0674,MP-0072,QC-2021-00344,46.572,4
OF-2023-0675,MP-0018,QC-2020-00771,45.25,1
OF-2023-0675,MP-0078,QC-2024-03362,6.568,2
OF-2023-0675,MP-0041,QC-2024-02831,21.024,3
OF-2023-0675,MP-0075,QC-2024-02778,11.028,4
OF-2023-0675,MP-0077,QC-2024-01138,39.108,5
OF-2020-0676,MP-0018,QC-2023-02784,36.056,1
OF-2020-0676,MP-0078,QC-2021-03194,42.749,2
OF-2020-0676,MP-0041,QC-2023-00875,9.487,3
OF-2020-0676,MP-0075,QC-2023-01315,12.18,4
OF-2020-0676,MP-0077,QC-2021-01468,49.902,5
OF-2020-0678,MP-0021,QC-2020-03420,26.722,1
OF-2020-0678,MP-0040,QC-2024-03021,18.93,2
OF-2020-0678,MP-0074,QC-2023-02298,46.562,3
OF-2024-0679,MP-0014,QC-2023-02407,47.845,1
OF-2024-0679,MP-0057,QC-2023-00217,31.432,2
OF-2024-0679,MP-0050,QC-2021-03416,26.36,3
OF-2024-0679,MP-0078,QC-2022-02290,49.233,4
OF-2024-0679,MP-0068,QC-2023-03098,23.309,5
OF-2020-0680,MP-0036,QC-2020-00446,49.634,1
OF-2020-0680,MP-0053,QC-2023-01772,40.705,2
OF-2020-0680,MP-0074,QC-2023-00854,18.033,3
OF-2020-0680,MP-0064,QC-2023-01311,42.457,4
OF-2020-0680,MP-0062,QC-2020-02984,34.056,5
OF-2020-0681,MP-0032,QC-2022-00439,9.855,1
OF-2020-0681,MP-0040,QC-2024-03021,7.323,2
OF-2020-0681,MP-0044,QC-2021-01115,18.747,3
OF-2022-0682,MP-0022,QC-2024-01801,14.68,1
OF-2022-0682,MP-0052,QC-2023-02977,5.54,2
OF-2022-0682,MP-0049,QC-2024-02584,22.971,3
OF-2023-0683,MP-0005,QC-2021-00585,47.041,1
OF-2023-0683,MP-0052,QC-2020-01273,40.057,2
OF-2023-0683,MP-0062,QC-2022-00124,31.755,3
OF-2023-0683,MP-0044,QC-2021-01209,22.592,4
OF-2023-0683,MP-0073,QC-2021-02059,37.465,5
OF-2023-0684,MP-0018,QC-2024-00614,23.417,1
OF-2023-0684,MP-0078,QC-2022-03023,31.253,2
OF-2023-0684,MP-0041,QC-2022-00087,20.253,3
OF-2023-0684,MP-0075,QC-2023-03214,32.221,4
OF-2023-0684,MP-0077,QC-2024-00036,7.697,5
OF-2021-0685,MP-0031,QC-2020-02046,47.989,1
OF-2021-0685,MP-0049,QC-2022-02793,48.456,2
OF-2021-0685,MP-0043,QC-2020-00354,40.934,3
OF-2021-0685,MP-0064,QC-2024-01021,32.69,4
OF-2021-0686,MP-0016,QC-2020-02400,25.316,1
OF-2021-0686,MP-0066,QC-2024-00701,9.209,2
OF-2021-0686,MP-0061,QC-2023-00841,29.324,3
OF-2023-0687,MP-0034,QC-2022-02571,26.268,1
OF-2023-0687,MP-0064,QC-2021-00268,34.479,2
OF-2023-0687,MP-0050,QC-2020-03038,11.414,3
OF-2023-0687,MP-0071,QC-2021-00476,6.123,4
OF-2023-0687,MP-0049,QC-2023-01415,19.23,5
OF-2024-0688,MP-0003,QC-2023-02452,40.656,1
OF-2024-0688,MP-0042,QC-2023-02604,9.993,2
OF-2024-0688,MP-0063,QC-2021-00473,29.622,3
OF-2024-0688,MP-0074,QC-2020-00358,26.328,4
OF-2024-0688,MP-0073,QC-2020-00064,25.465,5
OF-2021-0689,MP-0024,QC-2023-00370,49.246,1
OF-2021-0689,MP-0071,QC-2023-00613,42.127,2
OF-2021-0689,MP-0070,QC-2023-01336,18.191,3
OF-2020-0691,MP-0014,QC-2021-01883,5.693,1
OF-2020-0691,MP-0057,QC-2023-01229,13.149,2
OF-2020-0691,MP-0050,QC-2023-01889,38.99,3
OF-2020-0691,MP-0078,QC-2022-01118,47.946,4
OF-2020-0691,MP-0068,QC-2020-00184,31.25,5
OF-2024-0692,MP-0024,QC-2024-02804,44.749,1
OF-2024-0692,MP-0071,QC-2021-01534,32.766,2
OF-2024-0692,MP-0070,QC-2023-00666,35.348,3
OF-2023-0693,MP-0005,QC-2023-01842,19.211,1
OF-2023-0693,MP-0038,QC-2022-01234,46.533,2
OF-2023-0693,MP-0074,QC-2020-01630,23.404,3
OF-2023-0693,MP-0072,QC-2021-02553,32.121,4
OF-2024-0694,MP-0024,QC-2024-00055,48.673,1
OF-2024-0694,MP-0071,QC-2023-03332,11.027,2
OF-2024-0694,MP-0070,QC-2021-01479,42.222,3
OF-2020-0697,MP-0015,QC-2022-00770,30.874,1
OF-2020-0697,MP-0061,QC-2020-00389,19.385,2
OF-2020-0697,MP-0054,QC-2020-02677,31.165,3
OF-2020-0698,MP-0016,QC-2021-02237,44.638,1
OF-2020-0698,MP-0066,QC-2022-02413,36.64,2
OF-2020-0698,MP-0061,QC-2020-02901,32.299,3
OF-2024-0699,MP-0029,QC-2023-01746,26.554,1
OF-2024-0699,MP-0064,QC-2020-02300,40.602,2
OF-2024-0699,MP-0048,QC-2022-02711,35.351,3
OF-2020-0701,MP-0034,QC-2022-02571,28.648,1
OF-2020-0701,MP-0064,QC-2021-01585,25.528,2
OF-2020-0701,MP-0050,QC-2021-00018,28.003,3
OF-2020-0701,MP-0071,QC-2021-00959,24.724,4
OF-2020-0701,MP-0049,QC-2024-03158,30.087,5
OF-2023-0702,MP-0016,QC-2024-02275,6.464,1
OF-2023-0702,MP-0066,QC-2020-00951,32.887,2
OF-2023-0702,MP-0061,QC-2024-02219,10.878,3
OF-2022-0704,MP-0024,QC-2020-02892,46.998,1
OF-2022-0704,MP-0060,QC-2020-02770,45.218,2
OF-2022-0704,MP-0059,QC-2023-00794,22.687,3
OF-2023-0705,MP-0014,QC-2021-00761,40.344,1
OF-2023-0705,MP-0057,QC-2024-00900,17.537,2
OF-2023-0705,MP-0052,QC-2020-01628,27.944,3
OF-2023-0705,MP-0053,QC-2024-01539,25.207,4
OF-2023-0705,MP-0062,QC-2022-00124,27.688,5
OF-2021-0706,MP-0021,QC-2023-03105,23.46,1
OF-2021-0706,MP-0051,QC-2020-00861,24.426,2
OF-2021-0706,MP-0039,QC-2021-00551,37.149,3
OF-2020-0707,MP-0030,QC-2024-01081,13.969,1
OF-2020-0707,MP-0044,QC-2021-03291,35.884,2
OF-2020-0707,MP-0061,QC-2024-02991,11.677,3
OF-2020-0707,MP-0042,QC-2021-00025,21.168,4
OF-2020-0707,MP-0072,QC-2021-02012,5.067,5
OF-2024-0708,MP-0032,QC-2021-00010,7.743,1
OF-2024-0708,MP-0040,QC-2023-00131,29.684,2
OF-2024-0708,MP-0044,QC-2024-02476,16.19,3
OF-2024-0709,MP-0012,QC-2020-02175,25.405,1
OF-2024-0709,MP-0043,QC-2020-00739,32.548,2
OF-2024-0709,MP-0077,QC-2022-00007,28.227,3
OF-2024-0709,MP-0056,QC-2022-01088,10.459,4
OF-2024-0709,MP-0069,QC-2022-00378,23.279,5
OF-2020-0710,MP-0030,QC-2021-00767,22.302,1
OF-2020-0710,MP-0044,QC-2023-00782,41.918,2
OF-2020-0710,MP-0061,QC-2020-00421,35.848,3
OF-2020-0710,MP-0042,QC-2022-01049,47.022,4
OF-2020-0710,MP-0072,QC-2020-03408,35.296,5
OF-2023-0711,MP-0035,QC-2022-02655,38.301,1
OF-2023-0711,MP-0069,QC-2024-02802,7.013,2
OF-2023-0711,MP-0053,QC-2020-00094,29.38,3
OF-2021-0712,MP-0014,QC-2023-02407,49.505,1
OF-2021-0712,MP-0057,QC-2023-00276,47.426,2
OF-2021-0712,MP-0052,QC-2021-02754,26.601,3
OF-2021-0712,MP-0053,QC-2021-01528,22.483,4
OF-2021-0712,MP-0062,QC-2022-00124,7.28,5
OF-2024-0713,MP-0001,QC-2022-02756,17.48,1
OF-2024-0713,MP-0053,QC-2024-01435,16.207,2
OF-2024-0713,MP-0066,QC-2021-00240,45.064,3
OF-2024-0713,MP-0055,QC-2023-01248,47.889,4
OF-2020-0714,MP-0016,QC-2020-00556,19.325,1
OF-2020-0714,MP-0066,QC-2023-02107,32.186,2
OF-2020-0714,MP-0061,QC-2023-02522,21.622,3
OF-2021-0715,MP-0017,QC-2021-00872,39.165,1
OF-2021-0715,MP-0037,QC-2023-01638,11.754,2
OF-2021-0715,MP-0044,QC-2024-00182,13.51,3
OF-2021-0715,MP-0071,QC-2024-01029,41.221,4
OF-2021-0715,MP-0054,QC-2023-00015,8.079,5
OF-2021-0716,MP-0032,QC-2022-01561,23.579,1
OF-2021-0716,MP-0040,QC-2023-00131,25.091,2
OF-2021-0716,MP-0044,QC-2024-02476,47.455,3
OF-2023-0717,MP-0001,QC-2021-01420,31.19,1
OF-2023-0717,MP-0053,QC-2024-01539,43.845,2
OF-2023-0717,MP-0066,QC-2023-01406,24.873,3
OF-2023-0717,MP-0055,QC-2021-00197,9.297,4
OF-2020-0718,MP-0016,QC-2020-02400,37.446,1
OF-2020-0718,MP-0065,QC-2022-00838,36.785,2
OF-2020-0718,MP-0072,QC-2022-02975,45.961,3
OF-2022-0719,MP-0005,QC-2020-00938,34.368,1
OF-2022-0719,MP-0052,QC-2022-03433,25.103,2
OF-2022-0719,MP-0062,QC-2024-03406,18.004,3
OF-2022-0719,MP-0044,QC-2023-00045,11.718,4
OF-2022-0719,MP-0073,QC-2020-01938,11.333,5
OF-2021-0720,MP-0022,QC-2023-00465,27.36,1
OF-2021-0720,MP-0052,QC-2020-02084,45.718,2
OF-2021-0720,MP-0049,QC-2021-02266,15.233,3
OF-2021-0722,MP-0005,QC-2021-01309,20.5,1
OF-2021-0722,MP-0038,QC-2020-02750,5.783,2
OF-2021-0722,MP-0074,QC-2023-01073,8.924,3
OF-2021-0722,MP-0072,QC-2024-00730,49.662,4
OF-2020-0723,MP-0016,QC-2023-02526,19.941,1
OF-2020-0723,MP-0065,QC-2024-02683,10.229,2
OF-2020-0723,MP-0072,QC-2022-02374,47.222,3
OF-2021-0725,MP-0021,QC-2020-00085,17.909,1
OF-2021-0725,MP-0038,QC-2020-02201,10.149,2
OF-2021-0725,MP-0044,QC-2022-00324,7.737,3
OF-2021-0725,MP-0060,QC-2020-02658,12.78,4
OF-2021-0726,MP-0024,QC-2022-02674,6.059,1
OF-2021-0726,MP-0060,QC-2024-00089,10.75,2
OF-2021-0726,MP-0059,QC-2024-00970,28.507,3
OF-2020-0727,MP-0005,QC-2022-00725,37.553,1
OF-2020-0727,MP-0052,QC-2024-01322,14.023,2
OF-2020-0727,MP-0054,QC-2024-00775,30.551,3
OF-2020-0727,MP-0068,QC-2021-02432,8.089,4
OF-2020-0727,MP-0050,QC-2021-00463,10.629,5
OF-2021-0728,MP-0021,QC-2024-02439,5.519,1
OF-2021-0728,MP-0040,QC-2024-01934,24.585,2
OF-2021-0728,MP-0074,QC-2023-01092,15.097,3
OF-2024-0729,MP-0035,QC-2021-01557,19.043,1
OF-2024-0729,MP-0069,QC-2022-03276,7.07,2
OF-2024-0729,MP-0053,QC-2023-01772,34.479,3
OF-2022-0730,MP-0014,QC-2022-00879,43.346,1
OF-2022-0730,MP-0057,QC-2022-01159,22.227,2
OF-2022-0730,MP-0050,QC-2021-00018,9.818,3
OF-2022-0730,MP-0078,QC-2020-00377,19.98,4
OF-2022-0730,MP-0068,QC-2024-00134,21.468,5
OF-2024-0731,MP-0014,QC-2024-00803,48.382,1
OF-2024-0731,MP-0057,QC-2022-01159,27.132,2
OF-2024-0731,MP-0052,QC-2020-01273,16.676,3
OF-2024-0731,MP-0053,QC-2020-02086,30.125,4
OF-2024-0731,MP-0062,QC-2020-01728,8.738,5
OF-2022-0732,MP-0005,QC-2023-01162,47.309,1
OF-2022-0732,MP-0038,QC-2024-00349,38.725,2
OF-2022-0732,MP-0074,QC-2020-00620,42.172,3
OF-2022-0732,MP-0072,QC-2023-01090,22.741,4
OF-2022-0733,MP-0030,QC-2020-02823,36.662,1
OF-2022-0733,MP-0044,QC-2024-02476,47.073,2
OF-2022-0733,MP-0061,QC-2022-02646,40.243,3
OF-2022-0733,MP-0042,QC-2021-00720,43.517,4
OF-2022-0733,MP-0072,QC-2024-01732,49.26,5
OF-2024-0734,MP-0036,QC-2021-01885,43.354,1
OF-2024-0734,MP-0068,QC-2023-02535,27.979,2
OF-2024-0734,MP-0046,QC-2023-01429,40.555,3
OF-2024-0734,MP-0049,QC-2021-01717,26.299,4
OF-2024-0734,MP-0055,QC-2021-00524,34.808,5
OF-2020-0735,MP-0032,QC-2022-01060,21.272,1
OF-2020-0735,MP-0050,QC-2024-00106,23.575,2
OF-2020-0735,MP-0062,QC-2024-00291,41.282,3
OF-2020-0735,MP-0040,QC-2020-01516,27.527,4
OF-2024-0738,MP-0019,QC-2022-01408,7.414,1
OF-2024-0738,MP-0047,QC-2022-02205,44.542,2
OF-2024-0738,MP-0066,QC-2022-02413,22.028,3
OF-2024-0738,MP-0037,QC-2021-00538,47.636,4
OF-2020-0739,MP-0014,QC-2021-02941,24.477,1
OF-2020-0739,MP-0057,QC-2021-01026,32.207,2
OF-2020-0739,MP-0050,QC-2024-02423,12.363,3
OF-2020-0739,MP-0078,QC-2024-01852,30.867,4
OF-2020-0739,MP-0068,QC-2021-00781,5.774,5
OF-2023-0740,MP-0024,QC-2021-01711,41.046,1
OF-2023-0740,MP-0070,QC-2022-03153,41.826,2
OF-2023-0740,MP-0065,QC-2022-00513,9.548,3
OF-2023-0740,MP-0044,QC-2021-03291,39.835,4
OF-2023-0741,MP-0029,QC-2020-03208,11.604,1
OF-2023-0741,MP-0064,QC-2022-01175,5.113,2
OF-2023-0741,MP-0048,QC-2022-03304,24.307,3
OF-2021-0742,MP-0024,QC-2021-03471,40.503,1
OF-2021-0742,MP-0071,QC-2021-02183,44.349,2
OF-2021-0742,MP-0070,QC-2021-02138,41.283,3
OF-2020-0743,MP-0014,QC-2020-02391,17.475,1
OF-2020-0743,MP-0057,QC-2020-03107,23.89,2
OF-2020-0743,MP-0052,QC-2021-00086,49.688,3
OF-2020-0743,MP-0053,QC-2023-02244,16.685,4
OF-2020-0743,MP-0062,QC-2024-03406,5.823,5
OF-2021-0745,MP-0015,QC-2021-00844,41.683,1
OF-2021-0745,MP-0061,QC-2022-01622,18.995,2
OF-2021-0745,MP-0054,QC-2021-01550,8.702,3
OF-2021-0746,MP-0014,QC-2020-00215,10.331,1
OF-2021-0746,MP-0057,QC-2023-01576,7.293,2
OF-2021-0746,MP-0052,QC-2023-03455,24.075,3
OF-2021-0746,MP-0053,QC-2022-01458,27.35,4
OF-2021-0746,MP-0062,QC-2024-00291,37.109,5
OF-2024-0747,MP-0021,QC-2022-02619,7.379,1
OF-2024-0747,MP-0040,QC-2022-00315,14.119,2
OF-2024-0747,MP-0074,QC-2022-00289,49.978,3
OF-2023-0749,MP-0005,QC-2022-02800,32.198,1
OF-2023-0749,MP-0077,QC-2021-00098,8.608,2
OF-2023-0749,MP-0040,QC-2023-01444,6.46,3
OF-2023-0749,MP-0051,QC-2021-00111,14.444,4
OF-2023-0749,MP-0041,QC-2021-02045,41.598,5
OF-2024-0751,MP-0031,QC-2021-03460,42.019,1
OF-2024-0751,MP-0049,QC-2020-03414,34.35,2
OF-2024-0751,MP-0043,QC-2020-02862,7.051,3
OF-2024-0751,MP-0064,QC-2024-00361,44.808,4
OF-2023-0754,MP-0003,QC-2022-02734,16.627,1
OF-2023-0754,MP-0042,QC-2021-02940,34.161,2
OF-2023-0754,MP-0063,QC-2020-02716,26.0,3
OF-2023-0754,MP-0074,QC-2020-01760,19.79,4
OF-2023-0754,MP-0073,QC-2023-01750,46.457,5
OF-2022-0756,MP-0032,QC-2023-01256,20.196,1
OF-2022-0756,MP-0040,QC-2021-00732,36.778,2
OF-2022-0756,MP-0044,QC-2024-00182,26.265,3
OF-2023-0757,MP-0030,QC-2020-03073,28.516,1
OF-2023-0757,MP-0053,QC-2020-00094,26.225,2
OF-2023-0757,MP-0045,QC-2020-03147,31.943,3
OF-2024-0758,MP-0024,QC-2023-02733,10.038,1
OF-2024-0758,MP-0060,QC-2020-01720,9.76,2
OF-2024-0758,MP-0059,QC-2023-00040,29.864,3
OF-2020-0759,MP-0027,QC-2024-02876,48.918,1
OF-2020-0759,MP-0040,QC-2020-00648,10.84,2
OF-2020-0759,MP-0078,QC-2021-01173,35.458,3
OF-2020-0759,MP-0043,QC-2022-02614,16.309,4
OF-2024-0760,MP-0031,QC-2021-03207,13.908,1
OF-2024-0760,MP-0049,QC-2023-01892,42.688,2
OF-2024-0760,MP-0043,QC-2024-00443,25.133,3
OF-2024-0760,MP-0064,QC-2020-02270,30.185,4
OF-2023-0762,MP-0012,QC-2021-03130,21.485,1
OF-2023-0762,MP-0043,QC-2021-02356,25.948,2
OF-2023-0762,MP-0077,QC-2021-02752,6.417,3
OF-2023-0762,MP-0056,QC-2020-01770,34.31,4
OF-2023-0762,MP-0069,QC-2020-02927,44.066,5
OF-2024-0764,MP-0032,QC-2023-00746,12.302,1
OF-2024-0764,MP-0040,QC-2024-00590,22.582,2
OF-2024-0764,MP-0044,QC-2022-00324,40.52,3
OF-2023-0765,MP-0034,QC-2023-02223,29.817,1
OF-2023-0765,MP-0064,QC-2020-02470,16.681,2
OF-2023-0765,MP-0050,QC-2023-03008,5.897,3
OF-2023-0765,MP-0071,QC-2020-01960,35.701,4
OF-2023-0765,MP-0049,QC-2021-01896,7.983,5
OF-2023-0766,MP-0036,QC-2020-01032,31.013,1
OF-2023-0766,MP-0068,QC-2022-02111,36.364,2
OF-2023-0766,MP-0046,QC-2021-00963,9.025,3
OF-2023-0766,MP-0049,QC-2022-00391,38.111,4
OF-2023-0766,MP-0055,QC-2020-02220,45.259,5
OF-2022-0767,MP-0014,QC-2020-00200,26.615,1
OF-2022-0767,MP-0057,QC-2020-00164,14.791,2
OF-2022-0767,MP-0050,QC-2021-02472,7.089,3
OF-2022-0767,MP-0078,QC-2021-03392,28.521,4
OF-2022-0767,MP-0068,QC-2022-01414,45.175,5
OF-2021-0768,MP-0030,QC-2022-00923,32.9,1
OF-2021-0768,MP-0053,QC-2024-01435,31.005,2
OF-2021-0768,MP-0045,QC-2024-01921,29.382,3
OF-2022-0769,MP-0012,QC-2023-01287,6.061,1
OF-2022-0769,MP-0043,QC-2022-01982,46.079,2
OF-2022-0769,MP-0077,QC-2021-02134,32.031,3
OF-2022-0769,MP-0056,QC-2024-00851,41.632,4
OF-2022-0769,MP-0069,QC-2022-01621,43.617,5
OF-2020-0770,MP-0015,QC-2024-01493,46.022,1
OF-2020-0770,MP-0061,QC-2023-01631,26.432,2
OF-2020-0770,MP-0054,QC-2024-01856,39.364,3
OF-2023-0771,MP-0003,QC-2021-01619,23.193,1
OF-2023-0771,MP-0042,QC-2022-01198,15.399,2
OF-2023-0771,MP-0063,QC-2023-02603,43.813,3
OF-2023-0771,MP-0074,QC-2024-00966,18.944,4
OF-2023-0771,MP-0073,QC-2023-00449,9.206,5
OF-2020-0772,MP-0021,QC-2021-01859,46.044,1
OF-2020-0772,MP-0038,QC-2021-02370,16.681,2
OF-2020-0772,MP-0044,QC-2023-00782,27.076,3
OF-2020-0772,MP-0060,QC-2020-02899,41.377,4
OF-2022-0774,MP-0021,QC-2021-03206,20.163,1
OF-2022-0774,MP-0038,QC-2024-00362,11.157,2
OF-2022-0774,MP-0044,QC-2024-00640,45.762,3
OF-2022-0774,MP-0060,QC-2022-03254,27.171,4
OF-2022-0776,MP-0032,QC-2021-02387,27.801,1
OF-2022-0776,MP-0050,QC-2020-02153,21.303,2
OF-2022-0776,MP-0062,QC-2023-00433,21.937,3
OF-2022-0776,MP-0040,QC-2023-03034,7.053,4
OF-2024-0777,MP-0034,QC-2023-02442,12.235,1
OF-2024-0777,MP-0040,QC-2024-01781,5.849,2
OF-2024-0777,MP-0069,QC-2024-01213,40.405,3
OF-2024-0779,MP-0035,QC-2024-02585,39.792,1
OF-2024-0779,MP-0045,QC-2020-03147,11.361,2
OF-2024-0779,MP-0067,QC-2023-02440,7.91,3
OF-2020-0781,MP-0032,QC-2020-02155,10.513,1
OF-2020-0781,MP-0040,QC-2024-01781,41.248,2
OF-2020-0781,MP-0044,QC-2023-03272,28.92,3
OF-2024-0782,MP-0021,QC-2022-02879,34.906,1
OF-2024-0782,MP-0040,QC-2022-00315,14.743,2
OF-2024-0782,MP-0074,QC-2021-01679,19.312,3
OF-2022-0783,MP-0011,QC-2021-01405,44.99,1
OF-2022-0783,MP-0064,QC-2022-01556,41.96,2
OF-2022-0783,MP-0075,QC-2021-01926,27.646,3
OF-2022-0783,MP-0041,QC-2022-01241,36.756,4
OF-2022-0783,MP-0061,QC-2020-02629,13.148,5
OF-2020-0784,MP-0024,QC-2023-01282,19.955,1
OF-2020-0784,MP-0060,QC-2020-02770,38.828,2
OF-2020-0784,MP-0059,QC-2021-03041,28.763,3
OF-2022-0785,MP-0014,QC-2020-02426,28.229,1
OF-2022-0785,MP-0057,QC-2022-01159,49.866,2
OF-2022-0785,MP-0050,QC-2023-02886,23.748,3
OF-2022-0785,MP-0078,QC-2024-01852,11.125,4
OF-2022-0785,MP-0068,QC-2023-02535,34.372,5
OF-2023-0786,MP-0034,QC-2024-00895,26.521,1
OF-2023-0786,MP-0064,QC-2021-00268,43.685,2
OF-2023-0786,MP-0050,QC-2021-01307,47.439,3
OF-2023-0786,MP-0071,QC-2023-00870,37.698,4
OF-2023-0786,MP-0049,QC-2023-01999,26.415,5
OF-2020-0787,MP-0005,QC-2021-02742,10.642,1
OF-2020-0787,MP-0052,QC-2023-03455,24.406,2
OF-2020-0787,MP-0062,QC-2023-02178,42.615,3
OF-2020-0787,MP-0044,QC-2023-00426,23.29,4
OF-2020-0787,MP-0073,QC-2022-03419,36.234,5
OF-2022-0788,MP-0017,QC-2021-02195,31.609,1
OF-2022-0788,MP-0037,QC-2021-01208,12.936,2
OF-2022-0788,MP-0044,QC-2024-01900,40.108,3
OF-2022-0788,MP-0071,QC-2024-00997,16.687,4
OF-2022-0788,MP-0054,QC-2020-01847,40.469,5
OF-2020-0790,MP-0035,QC-2020-01133,30.997,1
OF-2020-0790,MP-0069,QC-2023-03337,8.771,2
OF-2020-0790,MP-0053,QC-2024-01846,31.828,3
OF-2022-0791,MP-0005,QC-2022-00071,19.142,1
OF-2022-0791,MP-0077,QC-2020-01269,23.517,2
OF-2022-0791,MP-0040,QC-2022-00315,38.154,3
OF-2022-0791,MP-0051,QC-2022-02255,31.792,4
OF-2022-0791,MP-0041,QC-2020-02036,27.492,5
OF-2021-0792,MP-0004,QC-2020-01124,24.635,1
OF-2021-0792,MP-0073,QC-2024-00445,31.401,2
OF-2021-0792,MP-0042,QC-2024-00079,15.856,3
OF-2021-0793,MP-0022,QC-2022-00994,26.459,1
OF-2021-0793,MP-0052,QC-2021-02684,38.731,2
OF-2021-0793,MP-0049,QC-2022-00778,25.495,3
OF-2021-0794,MP-0032,QC-2021-03334,12.923,1
OF-2021-0794,MP-0040,QC-2021-03322,11.625,2
OF-2021-0794,MP-0044,QC-2022-00695,9.789,3
OF-2024-0795,MP-0018,QC-2020-03389,21.695,1
OF-2024-0795,MP-0078,QC-2021-02852,24.167,2
OF-2024-0795,MP-0041,QC-2024-00407,48.592,3
OF-2024-0795,MP-0075,QC-2022-00807,24.032,4
OF-2024-0795,MP-0077,QC-2021-00098,40.075,5
OF-2023-0796,MP-0030,QC-2024-02534,10.131,1
OF-2023-0796,MP-0053,QC-2024-01539,42.672,2
OF-2023-0796,MP-0045,QC-2022-02637,30.971,3
OF-2020-0797,MP-0011,QC-2021-01405,47.3,1
OF-2020-0797,MP-0064,QC-2020-02300,47.991,2
OF-2020-0797,MP-0075,QC-2022-00016,14.33,3
OF-2020-0797,MP-0041,QC-2023-03435,41.291,4
OF-2020-0797,MP-0061,QC-2023-00713,6.331,5
OF-2024-0798,MP-0036,QC-2021-02541,40.762,1
OF-2024-0798,MP-0053,QC-2020-00094,9.304,2
OF-2024-0798,MP-0074,QC-2021-00990,13.297,3
OF-2024-0798,MP-0064,QC-2020-02198,17.089,4
OF-2024-0798,MP-0062,QC-2020-00163,7.725,5
OF-2020-0799,MP-0029,QC-2021-02736,25.905,1
OF-2020-0799,MP-0064,QC-2022-00090,46.472,2
OF-2020-0799,MP-0048,QC-2023-00718,23.003,3
OF-2023-0801,MP-0004,QC-2022-00304,18.104,1
OF-2023-0801,MP-0073,QC-2020-00889,14.391,2
OF-2023-0801,MP-0042,QC-2020-01955,42.581,3
OF-2021-0802,MP-0036,QC-2020-01807,30.991,1
OF-2021-0802,MP-0053,QC-2024-01015,43.836,2
OF-2021-0802,MP-0074,QC-2022-01551,12.196,3
OF-2021-0802,MP-0064,QC-2021-01478,40.213,4
OF-2021-0802,MP-0062,QC-2020-01763,49.05,5
OF-2020-0803,MP-0016,QC-2020-01177,48.106,1
OF-2020-0803,MP-0065,QC-2021-00100,38.364,2
OF-2020-0803,MP-0072,QC-2020-02008,16.705,3
OF-2024-0804,MP-0030,QC-2024-01969,9.893,1
OF-2024-0804,MP-0053,QC-2021-03354,14.854,2
OF-2024-0804,MP-0045,QC-2022-01668,10.725,3
OF-2020-0805,MP-0005,QC-2020-01195,29.341,1
OF-2020-0805,MP-0052,QC-2022-00569,12.203,2
OF-2020-0805,MP-0062,QC-2021-02392,10.304,3
OF-2020-0805,MP-0044,QC-2024-02476,14.999,4
OF-2020-0805,MP-0073,QC-2024-03413,7.149,5
OF-2023-0806,MP-0035,QC-2024-00181,10.645,1
OF-2023-0806,MP-0069,QC-2022-01887,37.334,2
OF-2023-0806,MP-0053,QC-2021-02569,22.781,3
OF-2024-0807,MP-0004,QC-2020-02895,43.836,1
OF-2024-0807,MP-0073,QC-2024-02997,34.003,2
OF-2024-0807,MP-0042,QC-2020-01715,48.975,3
OF-2022-0808,MP-0032,QC-2021-02761,38.701,1
OF-2022-0808,MP-0050,QC-2021-02472,6.053,2
OF-2022-0808,MP-0062,QC-2022-03152,5.026,3
OF-2022-0808,MP-0040,QC-2020-02596,24.568,4
OF-2022-0809,MP-0030,QC-2024-02534,38.909,1
OF-2022-0809,MP-0044,QC-2024-00182,12.634,2
OF-2022-0809,MP-0061,QC-2021-02066,5.46,3
OF-2022-0809,MP-0042,QC-2022-03198,46.506,4
OF-2022-0809,MP-0072,QC-2021-03297,48.192,5
OF-2023-0810,MP-0030,QC-2024-01081,13.378,1
OF-2023-0810,MP-0053,QC-2020-00657,45.685,2
OF-2023-0810,MP-0045,QC-2022-02354,44.695,3
OF-2021-0812,MP-0019,QC-2024-02635,46.124,1
OF-2021-0812,MP-0047,QC-2020-01046,12.801,2
OF-2021-0812,MP-0066,QC-2024-00701,20.682,3
OF-2021-0812,MP-0037,QC-2021-01143,16.127,4
OF-2020-0813,MP-0036,QC-2020-01032,21.088,1
OF-2020-0813,MP-0053,QC-2020-00478,11.928,2
OF-2020-0813,MP-0074,QC-2022-01363,45.764,3
